Name,RAh,RAm,RAs,DE,DEd,DEm,DEs,a26,b_a,AB,l_FUVmag,FUVmag,Bmag,l_Hamag,Hamag,Kmag,f_Kmag,l_21mag,21mag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis
Tucana,22,41,49.0,-,64,25,12,2.88,0.41,0.14,,22.04,15.7,,,11.47,*,>,20.1,,-1.0,Tr,L,194.0,0.88,TRGB
PiscesII,22,58,31.0,+,5,57,9,1.8,0.69,0.28,,22.68,17.2,,,12.84,*,,,,-3.0,Sph,X,,0.18,HB
NGC7462,23,2,47.2,-,40,50,6,5.5,0.17,0.05,,14.25,12.53,,,9.65,,,13.83,183.0,6.0,,,1057.0,10.1,TF
ApplesI,23,15,3.3,-,42,32,22,0.1,0.73,0.05,>,23.0,21.4,,,17.25,*,,,,-3.0,Sph,X,674.0,8.32,TRGB
NGC7640,23,22,6.6,+,40,50,44,10.47,0.19,0.48,,,11.61,,15.26,8.6,,,11.55,238.0,5.0,,,369.0,7.9,TF
UGC12588,23,24,42.4,+,41,20,53,1.86,0.82,0.63,,,14.11,,17.01,10.89,*,,14.91,90.0,8.0,,,425.0,7.9,mem
UGCA438,23,26,27.5,-,32,23,26,2.14,0.8,0.06,,15.43,13.89,,20.17,11.04,,,14.44,35.0,10.0,Ir,N,62.0,2.18,TRGB
Cas dSph,23,26,31.8,+,50,40,32,3.02,0.87,0.83,>,23.0,13.65,,24.11,8.79,*,>,16.34,,-3.0,Sph,L,-307.0,0.79,TRGB
ESO347-017,23,26,56.1,-,37,20,49,1.91,0.34,0.07,,15.75,14.69,,17.69,11.78,*,,14.87,69.0,7.0,,,691.0,7.6,TF
Pegasus,23,28,34.1,+,14,44,48,5.5,0.54,0.28,,16.27,13.21,,19.81,9.87,,,13.9,23.0,10.0,Ir,L,-184.0,0.76,TRGB
DDO217,23,29,58.7,+,40,59,25,5.25,0.82,0.62,,15.76,12.84,,16.81,9.6,*,,13.23,117.0,8.0,,,424.0,9.7,TF
IC5332,23,34,27.5,-,36,6,6,8.32,0.87,0.07,,12.62,11.0,,14.63,8.7,,,12.33,102.0,7.0,,,701.0,7.8,mem
LV J2335-3713,23,35,4.1,-,37,13,14,0.58,0.57,0.07,,,16.64,,,14.23,*,,17.26,29.0,10.0,Ir,N,615.0,7.8,mem
NGC7713,23,36,15.0,-,37,56,20,6.76,0.41,0.07,,,11.49,,15.08,9.19,,,13.44,182.0,6.0,,,692.0,7.8,TF
UGC12713,23,38,14.5,+,30,42,33,1.78,0.47,0.27,,16.95,14.81,,18.43,11.5,,,15.21,95.0,7.0,,,295.0,12.2,TF
UGCA442,23,43,46.0,-,31,57,33,6.31,0.14,0.07,,14.97,13.6,,17.51,11.42,,,13.47,94.0,8.0,,,267.0,4.27,TRGB
KKH98,23,45,34.0,+,38,43,4,1.05,0.55,0.53,,18.21,16.7,,20.08,13.82,,,16.66,21.0,10.0,Ir,L,-132.0,2.45,TRGB
ESO348-009,23,49,23.4,-,37,46,25,2.29,0.36,0.06,,16.37,14.81,,19.29,12.41,*,,14.54,85.0,10.0,Ir,L,647.0,11.5,TF
Peg dSph,23,51,46.4,+,24,35,10,3.98,0.59,0.28,>,23.0,14.17,,24.43,9.81,*,>,19.85,,-3.0,Sph,L,-345.0,0.82,RR
ESO149-003,23,52,2.8,-,52,34,39,2.63,0.18,0.06,,15.78,15.05,,18.65,12.65,*,,15.32,48.0,10.0,Ir,N,574.0,5.9,TF
And XXI,23,54,47.7,+,42,28,15,5.5,0.8,0.4,>,23.0,15.8,,,11.33,*,,,,-3.0,Sph,X,-361.0,0.86,TRGB
NGC7793,23,57,49.4,-,32,35,24,14.13,0.68,0.08,,11.28,9.72,,12.86,6.85,,,11.87,172.0,6.0,,,227.0,3.91,TRGB
And XXIX,23,58,55.6,+,30,45,20,2.7,0.65,0.2,>,23.0,17.0,,,12.72,*,,,,-2.0,Sph,X,,0.73,TRGB
